   .10000000     .00000000
   .72112000  -49.96400000  -41.50900000
   .73222000  -49.95300000  -41.23600000
   .74331000  -49.94300000  -40.95900000
   .75440000  -49.93200000  -40.67800000
   .76550000  -49.92000000  -40.39300000
   .77659000  -49.90900000  -40.10400000
   .78769000  -49.89800000  -39.81000000
   .79878000  -49.88700000  -39.51300000
   .80988000  -49.87500000  -39.21100000
   .82097000  -49.86400000  -38.90500000
   .83206000  -49.85200000  -38.59500000
   .84316000  -49.84000000  -38.28200000
   .85425000  -49.82900000  -37.96400000
   .86535000  -49.81700000  -37.64200000
   .87644000  -49.80500000  -37.31600000
   .88754000  -49.79300000  -36.98600000
   .89863000  -49.78200000  -36.65200000
   .90972000  -49.77000000  -36.31400000
   .92082000  -49.75800000  -35.97200000
   .93191000  -49.74700000  -35.62600000
   .94301000  -49.73500000  -35.27700000
   .95410000  -49.72300000  -34.92300000
   .96519000  -49.71200000  -34.56500000
   .97629000  -49.70000000  -34.20300000
   .98738000  -49.68900000  -33.83800000
   .99848000  -49.67800000  -33.46800000
  1.00960000  -49.66600000  -33.09500000
  1.02070000  -49.65500000  -32.71800000
  1.03180000  -49.64400000  -32.33600000
  1.04290000  -49.63300000  -31.95100000
  1.05390000  -49.62200000  -31.56200000
  1.06500000  -49.61100000  -31.16900000
  1.07610000  -49.60000000  -30.77100000
  1.08720000  -49.58900000  -30.37000000
  1.09830000  -49.57800000  -29.96500000
  1.10940000  -49.56700000  -29.55600000
  1.12050000  -49.55600000  -29.14200000
  1.13160000  -49.54500000  -28.72500000
  1.14270000  -49.53400000  -28.30300000
  1.15380000  -49.52200000  -27.87800000
  1.16490000  -49.51100000  -27.44800000
  1.17600000  -49.49900000  -27.01400000
  1.18710000  -49.48700000  -26.57600000
  1.19820000  -49.47500000  -26.13400000
  1.20930000  -49.46300000  -25.68700000
  1.22040000  -49.45100000  -25.23700000
  1.23150000  -49.43800000  -24.78200000
  1.24250000  -49.42600000  -24.32300000
  1.25360000  -49.41300000  -23.86000000
  1.26470000  -49.39900000  -23.39200000
  1.27580000  -49.38600000  -22.92100000
  1.28690000  -49.37200000  -22.44500000
  1.29800000  -49.35800000  -21.96400000
  1.30910000  -49.34400000  -21.48000000
  1.32020000  -49.32900000  -20.99100000
  1.33130000  -49.31400000  -20.49700000
  1.34240000  -49.29900000  -20.00000000
  1.35350000  -49.28300000  -19.49800000
  1.36460000  -49.26700000  -18.99100000
  1.37570000  -49.25000000  -18.48000000
  1.38680000  -49.23300000  -17.96500000
  1.39790000  -49.21600000  -17.44600000
  1.40900000  -49.19800000  -16.92200000
  1.42010000  -49.18000000  -16.39300000
  1.43120000  -49.16100000  -15.86000000
  1.44220000  -49.14200000  -15.32200000
  1.45330000  -49.12200000  -14.78100000
  1.46440000  -49.10200000  -14.23400000
  1.47550000  -49.08200000  -13.68300000
  1.48660000  -49.06000000  -13.12700000
  1.49770000  -49.03800000  -12.56700000
  1.50880000  -49.01600000  -12.00300000
  1.51990000  -48.99300000  -11.43300000
  1.53100000  -48.97000000  -10.86000000
  1.54210000  -48.94600000  -10.28100000
  1.55320000  -48.92100000   -9.69870000
  1.56430000  -48.89700000   -9.11140000
  1.57540000  -48.87100000   -8.51970000
  1.58650000  -48.84500000   -7.92350000
  1.59760000  -48.81900000   -7.32290000
  1.60870000  -48.79200000   -6.71780000
  1.61980000  -48.76500000   -6.10830000
  1.63080000  -48.73800000   -5.49440000
  1.64190000  -48.71000000   -4.87610000
  1.65300000  -48.68100000   -4.25340000
  1.66410000  -48.65200000   -3.62630000
  1.67520000  -48.62300000   -2.99490000
  1.68630000  -48.59400000   -2.35910000
  1.69740000  -48.56400000   -1.71900000
  1.70850000  -48.53400000   -1.07450000
  1.71960000  -48.50400000    -.42571000
  1.73070000  -48.47300000     .22737000
  1.74180000  -48.44200000     .88474000
  1.75290000  -48.41100000    1.54640000
  1.76400000  -48.37900000    2.21230000
  1.77510000  -48.34700000    2.88250000
  1.78620000  -48.31500000    3.55690000
  1.79730000  -48.28300000    4.23550000
  1.80840000  -48.25100000    4.91830000
  1.81940000  -48.21800000    5.60540000
  1.83050000  -48.18500000    6.29660000
  1.84160000  -48.15200000    6.99200000
  1.85270000  -48.11900000    7.69160000
  1.86380000  -48.08500000    8.39530000
  1.87490000  -48.05200000    9.10320000
  1.88600000  -48.01800000    9.81520000
